date,description,debit,credit,amount,balance,flag,llm_classification
2026-01-02,Opening balance,,,,5000.00,,
2026-01-03,POS PURCHASE - OFFICE DEPOT #221,84.19,,,4915.81,,
2026-01-05,ACH DEPOSIT - CLIENT ACME LLC,,4200.00,,9115.81,,
2026-01-06,CHECK 1043 - RENT,1850.00,,,7265.81,,
2026-01-09,WIRE FEE,25.00,,,7240.81,,
2026-01-09,WIRE TRANSFER - VENDOR NORTHWIND,1320.50,,,5920.31,,
2026-01-12,ACH DEPOSIT - CLIENT GLOBEX,,2750.00,,8670.31,,
2026-01-14,CARD 4471 AMAZON WEB SERVICES,312.77,,,8457.54,"balance mismatch: expected 8357.54, got 8457.54",transposed_digits
2026-01-15,INTEREST PAID,,3.11,,8360.65,,
2026-01-18,POS PURCHASE - FUEL SHELL,62.40,,,8298.25,,
2026-01-20,PAYROLL RUN JANUARY,3900.00,,,4398.25,,
2026-01-22,ACH DEPOSIT - CLIENT INITECH,,1500.00,,5898.25,,
2026-01-25,BANK SERVICE CHARGE,18.00,,,5880.25,,
2026-01-28,REFUND - OFFICE DEPOT,,84.19,,5964.44,,
2026-01-30,CHECK 1044 - UTILITIES,236.65,,,5727.79,,
